partner,liczba,wyplacone,kwota_rekompensaty_oryginalna,roznica,procent
tui,22,600.00,3000.00,2400,400
,1155,600.00,3000.00,2400,400
,1155,300.00,2400.00,2100,700
,1155,400.00,2000.00,1600,400
kiribati,13,600.00,1800.00,1200,200
,1155,600.00,1800.00,1200,200
,1155,600.00,1800.00,1200,200
,1155,1200.00,2400.00,1200,100
,1155,600.00,1800.00,1200,200
,1155,750.00,1800.00,1050,140
tui,22,300.00,1200.00,900,300
tui,22,100.00,1000.00,900,900
,1155,1200.00,2000.00,800,66.6666666666666667
,1155,1200.00,2000.00,800,66.6666666666666667
,1155,1500.00,2250.00,750,50
,1155,455.00,1200.00,745,163.7362637362637363
,1155,478.00,1200.00,722,151.0460251046025105
,1155,500.00,1200.00,700,140
,1155,500.00,1200.00,700,140
,1155,500.00,1200.00,700,140
,1155,100.00,750.00,650,650
,1155,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
kiribati,13,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
,1155,300.00,900.00,600,200
,1155,200.00,800.00,600,300
kiribati,13,600.00,1200.00,600,100
,1155,2400.00,3000.00,600,25
,1155,600.00,1200.00,600,100
,1155,1800.00,2400.00,600,33.3333333333333333
,1155,600.00,1200.00,600,100
,1155,3000.00,3600.00,600,20
kiribati,13,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
kiribati,13,600.00,1200.00,600,100
kiribati,13,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
,1155,600.00,1200.00,600,100
,1155,200.00,750.00,550,275
,1155,200.00,750.00,550,275
,1155,700.00,1200.00,500,71.4285714285714286
,1155,250.00,750.00,500,200
kiribati,13,100.00,600.00,500,500
,1155,700.00,1200.00,500,71.4285714285714286
,1155,250.00,750.00,500,200
,1155,1.00,500.00,499,49900
,1155,260.00,750.00,490,188.4615384615384615
,1155,745.00,1200.00,455,61.0738255033557047
,1155,300.00,750.00,450,150
,1155,150.00,600.00,450,300
,1155,750.00,1200.00,450,60
,1155,356.00,800.00,444,124.7191011235955056
,1155,400.00,800.00,400,100
,1155,100.00,500.00,400,400
kiribati,13,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,400.00,800.00,400,100
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,400.00,800.00,400,100
tui,22,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,400.00,800.00,400,100
,1155,400.00,800.00,400,100
kiribati,13,200.00,600.00,400,200
,1155,200.00,600.00,400,200
,1155,200.00,600.00,400,200
tui,22,400.00,800.00,400,100
,1155,400.00,800.00,400,100
kiribati,13,200.00,600.00,400,200
,1155,1200.00,1600.00,400,33.3333333333333333
,1155,210.00,600.00,390,185.7142857142857143
,1155,222.20,600.00,377.8,170.027002700270027
,1155,230.00,600.00,370,160.8695652173913043
,1155,136.00,500.00,364,267.6470588235294118
,1155,150.00,500.00,350,233.3333333333333333
,1155,250.00,600.00,350,140
,1155,250.00,600.00,350,140
,1155,250.00,600.00,350,140
,1155,250.00,600.00,350,140
,1155,250.00,600.00,350,140
,1155,250.00,600.00,350,140
,1155,256.00,600.00,344,134.375
,1155,160.00,500.00,340,212.5
,1155,50.00,375.00,325,650
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,200.00,500.00,300,150
,1155,300.00,600.00,300,100
,1155,450.00,750.00,300,66.6666666666666667
,1155,100.00,400.00,300,300
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,200.00,500.00,300,150
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,900.00,1200.00,300,33.3333333333333333
,1155,300.00,600.00,300,100
,1155,200.00,500.00,300,150
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.00,600.00,300,100
,1155,300.25,600.00,299.75,99.8334721065778518
,1155,1.00,300.00,299,29900
,1155,230.00,500.00,270,117.391304347826087
,1155,245.28,500.00,254.72,103.8486627527723418
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
tui,22,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,500.00,750.00,250,50
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
tui,22,250.00,500.00,250,100
,1155,20.00,270.00,250,1250
tui,22,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,750.00,1000.00,250,33.3333333333333333
,1155,750.00,1000.00,250,33.3333333333333333
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,350.00,600.00,250,71.4285714285714286
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
tui,22,250.00,500.00,250,100
tui,22,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
